Username,Location,Date,Reviews,Rating,Review Titles
Emma,GB,2024-10-01T10:14:48.000Z,Effective and communicative . Responded to all my emails on time and I'm now waiting for the claim / compensation. So far so good .,5,Effective and communicative 
Doina Serban,GB,2024-09-25T22:46:14.000Z,"First of all, it is easy to do the ensurance on-line, also in the last moment. Till now, in current trip, I didn't need their help, but some friends needed it and they were very satisfied.",5,"Good quality, easy access"
Celia,CA,2024-09-18T01:22:00.000Z,"It's so easy to purchase this insurance online and the rates are extremely competitive for good coverage.  This isn't the first time I've used Hey Mondo.  I had to make a claim for a previous trip, and the service and compensation were excellent.  Would highly recommend.",5,A repeat customer!
customer,SE,2024-10-02T06:56:48.000Z,So far so good and I hope I don't need to find out about any claim,5,So far so good and I hope I don't need…
Yvonne Buhrmann,ID,2024-09-13T01:51:51.000Z,"We have insurance at Heymondo and want to upgrade. But getting hold of someone that can properly help us seems impossible. All the people that we have contacted does not really know the answers or repeats the same clauses as 'answers' to our questions. Not sure if we want to get a new policy with this company. If it is this difficult to get information, how difficult is it going to be to actually get covered when an emergency happens.Update: They got back to me with something of a 'final answer' in which they repeated exactly the same as before, not answering my question all. They just added that we should contact Iris Global directly for any further questions. Needless to say, we will not contact anyone further and will defintely not use Heymondo ever again. I'm certain they will evade claims the same way as they evade questions about their cover.Update:After writing this review they came back to me with a mail with a clear answer. So not all bad - but it's a pitty it had to go to these extremes.",2,No one can actually help you or knows whats going on
Lizz Mejia,MX,2024-08-28T06:58:53.000Z,Insurance policy and coverage is good. The webpage is very intuititve and was easy to navigate through and choose the best policy for our upcoming trip. So far no issues.,5,Insurance policy and coverage is good
customer,RO,2024-09-29T08:46:50.000Z,Ok The Best experince,5,Super ok
Steve,US,2024-08-22T17:00:16.000Z,"I use Heymondo, and made a claim for lost/delayed luggage on 6/24/2024,  I uploaded everything I was requested and on 8/19 after several attempts to get a payment I was told my payment is being mailed.  With a copy of the check shown.The process was slow, and I had to resubmit all my documents again once in the meantime individually.  I’m cautiously pleased, and have booked coverage for another upcoming trip.  Their pricing is very good, claims could be faster if they used e-mail to communicate vice snail mail.",4,I use Heymondo
rodney stobart,AU,2024-09-23T00:10:15.000Z,You don’t offer evacuation in an emergency from a cruise ship,1,You don’t offer evacuation in an…
customer,IS,2024-08-01T14:58:42.000Z,"It is the only insurance that I can get for a person who lives in Europe and wanted to travel to the United States, that will generate confidence in me and that is at a reasonable price. And I say unique because I reviewed many, and none convinced me!",5,It is the only insurance that I can get…
Glamtraveller,MN,2024-07-16T14:42:02.000Z,"Excellent customer support & service from Sonia.After I purchased the travel policy, there was some confusion about age and benefit details. The policy could not work for me, and she provided prompt answers to questions and later a refund. Professional and clear in her writing, and with quick responsive action, thank you Sonia!",5,Sonia : Excellent customer support & service…
customer,PE,2024-08-25T03:52:34.000Z,"They didn’t reimburse the full amount, we sent all the information. Now no one is answering the emails and they sent us a very general email that no one is answering either.I want Heymondo to contact me and reimburse the full amount",1,They didn’t reimburse the full amount
Rosalind,PH,2024-08-17T06:40:41.000Z,"When I requested for a refund, it was immediately processed. They said that it will take 5-7 days for it to reflect on my bank account but in just 2 days, it is there. Thank you so much. Please know that I did not request for a refund coz I didn’t like their service. I just made a mistake in the selected date. Since, I can’t change the date, the only option is a refund. They did best. I will be buying a policy with the right date in the next few days.5000000 ⭐️✨🌟",5,When I requested for a refund
Jaime,MX,2024-09-01T18:12:55.000Z,"Although I the experience purchasing the insurance is good and smooth, the insurance is given with iris global which has a very bad reputation of not paying anything. So, having an insurance that is not going to respond at all is worst than not having one. So, I hope I do not have any trouble in my trip but otherwise I do not know what I am going to do trying to get covered by this insurance because for others it was hell.",1,Although I the experience purchasing…
Yu,CA,2024-10-03T06:18:54.000Z,The app is easy to use the rate is good.,5,The app is easy to use the rate is good.
Jennifer Laas,MU,2024-09-10T13:40:50.000Z,Very quick response. Quote given in good time. I hope they handle claims as efficiently should it be needed.,5,Very quick response
Nad,IT,2024-06-01T12:27:47.000Z,"I mistyped the name of an insured person in the insurance policy that I had made and, even if it was Saturday, they promptly replied to my request and made the correction. Moreover, they answered further questions I asked them about the insurance policy. I'm very pleased about their availability and courtesy.",5,Insured name mistyped 
Julie,ES,2024-09-20T11:40:17.000Z,"I am happy to be revising my review again.Thanks to Alex, I now have a policy which covers cancellation.It was a long winded way to get there but I really appreciate that he took the time to find a solution.5 stars to him",4,Happy with the solution
Paulo Gil,PT,2024-07-23T12:56:58.000Z,"So far reliable, but honestly and hopefully I didn't need to claim any incident in the past. Nevertheless, you can instantly chat with assistance at any time through their app.",5,So far reliable
CL Choong,FR,2024-09-28T21:49:26.000Z,The customer service is responsive when a query is raised before purchasing the insurance,4,The customer service is responsive when…
customer,US,2024-09-12T21:48:52.000Z,"Almost perfect, but some confusing parts, and the insurance policy for Italy came only in English.",4,Almost perfect
Patricia Serrano Gavilan,GB,2024-04-03T22:03:39.000Z,"I have contracted Heymondo travel insurance twice, luckily I haven't had to make a claim so far. However, the experience with customer service has been excellent. I am planning to travel again soon and have questions to in order to choose the best option for me. Diana has been answering them so kindly and patiently. She is helpful and professional. I like Heymondo website, simple and clear, and the coverage and prices are competent. The app is very handy. Patricia",5,Good experience with customer service and app
customer,IT,2024-07-28T21:29:27.000Z,The booking process was clear and fast. Hope I won't need any insurance during my trip! So I cannot assess what happens if you really do need a travel insurance.,5,The booking process was clear and fast
John Reeves,ES,2024-03-08T16:57:58.000Z,"We recently had to use the trip insurance that came with our Heymondo policy. There was a hitch or two, but ultimately, the insurance company paid our claim. We really appreciated was the way the Heymondo team came to our assistance during this process. We have already contracted with Heymondo for insurance to cover two more trips!",5,Trip Insurance and Heymondo
customer,MX,2024-04-15T22:29:45.000Z,"Used heymondo since covid times, only company who offered cover during the height of the pandemic. Had to claim once for emergency dental - had no problems with the support and getting my money. Their app is great too. Good company. Would recommend for long haul / longer stays.",5,"Great cover, amazing app"
Ms SR,GB,2024-01-12T12:23:54.000Z,"I wanted to change to stay in Oz for two more weeks. My current insurance wouldn’t extend or give me another policy. After searching and trying many companies I only found Heymondo. I was a bit unsure but they listened, clarified and understood my case and all ended good. Thank you Diana for your support.",5,Thank you Heymondo and especially Diana for her support in a time of stress.
Denise,FR,2024-08-19T11:28:11.000Z,I was looking for an insurance to cover a cruise. Heymondo was the only one with clear information about it.,5,Easy
Simona,NL,2024-01-15T21:48:17.000Z,"Like last year, I hope nothing will happen, I want to trust the service will be excellent in case of needed.But the purchasing and the costumer service by email are great, the condition of the policy are also great and easy to personalize too!Probably you can also find a little cheaper option but I would still choose HeyMondo for the easy and clear information, the app and the nice cs.",5,Great insurance
Abdul Elbilly,AU,2024-07-24T13:16:20.000Z,"I  do insurance for all my family members , all five adults , zero hassle. Even the claim is super fast . Highly recommended .",5,I  do insurance for all my family…
Luke Waldner,CA,2024-04-29T17:18:36.000Z,"The coverage is top notch, and just overall an easy 5 minute process of insurance policy being in your emails.With other companies I found myself on the phone for 1/2 hour and still don’t have it sorted. So this is a treat. All I can say is -GO HEYMONDO-Oh, and they don’t want an arm and a leg, prices are affordable as can be!",5,GO HEYMONDO
Lina Raffa ,TH,2024-08-04T19:53:12.000Z,I have used your services before and went back to the app for this year's holiday. So easy so convenient and so reasonable priced. 😊,5,East y holiday insurance sed your services before and…
Jessica Pividori,IT,2024-04-13T11:41:20.000Z,Really easy to navigate website and comprehensive service. As a digital nomad I was looking for a flexible annual plan and they have it. Note that the annual multi trip plan covers trips up to 60 days. If you plan to stay longer they offer a 90 days package.,5,Recommended! 
